idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
0.50_4.00_4500_19_200_325,3130,0.5,4.0,4500.0,19.0,200.0,325.0,1.625,65,4077.0,4914.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,5.02458,106.67,15368.0,98982.8,129718.8,2243.1,1974.8,2243.1,Myz_max/UW,0,0.29,
1.00_4.50_4500_19_200_325,3131,1.0,4.5,4500.0,19.0,200.0,325.0,1.625,65,4077.0,4914.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,5.02458,106.67,15368.0,109980.9,140716.9,2256.3,1984.9,2256.3,Myz_max/UW,0,0.27,
0.50_4.50_4200_15_230_400,3132,0.5,4.5,4200.0,15.0,230.0,400.0,1.739,52,3717.0,4672.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.10391,106.608,20055.5,91415.7,131526.8,2146.5,1868.4,2146.5,Myz_max/UW,0,0.27,
1.00_5.00_4200_15_230_400,3133,1.0,5.0,4200.0,15.0,230.0,400.0,1.739,52,3717.0,4672.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.10391,106.608,20055.5,100557.3,140668.4,2159.2,1877.9,2159.2,Myz_max/UW,0,0.26,
0.70_3.00_3900_23_230_550,3134,0.7,3.0,3900.0,23.0,230.0,550.0,2.391,49,3256.0,4528.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,3.94253,106.599,35750.1,49102.4,120602.6,2216.5,1943.6,2216.5,Myz_max/UW,0,0.26,
0.70_3.00_4500_15_170_400,3135,0.7,3.0,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,3.48275,106.575,19533.2,76873.4,115939.8,2359.3,2150.1,2359.3,Myz_max/UW,0,0.34,
0.30_4.50_3900_23_200_325,3136,0.3,4.5,3900.0,23.0,200.0,325.0,1.625,56,3461.0,4330.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,5.83178,106.569,13842.1,79257.3,106941.5,2338.5,1983.3,2338.5,Myz_max/UW,0,0.29,
0.70_3.00_4200_27_200_400,3137,0.7,3.0,4200.0,27.0,200.0,400.0,2.0,60,3682.0,4706.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.83,4.41998,106.56,22166.3,62791.6,107124.3,2304.3,2040.8,2304.3,Myz_max/UW,0,0.26,
0.30_3.00_3600_27_110_250,3138,0.3,3.0,3600.0,27.0,110.0,250.0,2.273,94,3290.0,3903.0,325.565,315.0625,265.7025,49.31,45.74,2.079,4.50498,106.556,7240.5,50133.2,64614.2,2990.7,2584.1,2990.7,Myz_max/UW,0,0.35,
0.70_3.50_4500_15_230_475,3139,0.7,3.5,4500.0,15.0,230.0,475.0,2.065,56,3968.0,5019.0,618.5735,598.61875,504.83475,93.7,86.91,1.889,3.98724,106.554,28596.2,83343.0,140535.4,2114.2,1899.3,2114.2,Myz_max/UW,0,0.28,
