rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
1,S2,asym K1=8.0 K2=0.7 zmL=400 r=0.15,8.0,0.7,400.0,8.0,0.7,60.0,2102.9,1500.0,13.68,-157.31,59.0,487.9,0.0,519.8,,0
1,S2,asym K1=8.0 K2=0.7 zmL=400 r=0.3,8.0,0.7,400.0,8.0,0.7,120.0,9000000000.0,9000000000.0,0.0,,,9000000000.0,0.0,0.0,,0
1,S2,asym K1=8.0 K2=0.7 zmL=400 r=0.5,8.0,0.7,400.0,8.0,0.7,200.0,2126.8,1528.3,13.11,-148.72,55.8,678.7,48.27,472.1,,0
1,S2,asym K1=8.0 K2=0.7 zmL=400 r=0.7,8.0,0.7,400.0,8.0,0.7,280.0,2131.3,1529.2,12.85,-151.09,56.6,156.5,45.15,475.5,,0
1,S2,asym K1=8.0 K2=0.7 zmL=400 r=1.0,8.0,0.7,400.0,8.0,0.7,400.0,2135.1,1530.1,12.66,-152.83,57.3,246.6,52.51,468.3,,0
1,S2,asym K1=8.0 K2=0.7 zmL=500 r=0.15,8.0,0.7,500.0,8.0,0.7,75.0,2118.2,1500.5,17.87,-153.9,57.7,99.3,0.0,515.6,,0
1,S2,asym K1=8.0 K2=0.7 zmL=500 r=0.3,8.0,0.7,500.0,8.0,0.7,150.0,2131.3,1502.9,17.25,-156.21,58.6,619.3,36.47,479.8,,0
1,S2,asym K1=8.0 K2=0.7 zmL=500 r=0.5,8.0,0.7,500.0,8.0,0.7,250.0,2138.9,1488.1,16.54,-147.32,55.2,91.2,41.08,475.9,,0
1,S2,asym K1=8.0 K2=0.7 zmL=500 r=0.7,8.0,0.7,500.0,8.0,0.7,350.0,2142.0,1482.3,16.22,-149.31,56.0,227.0,49.12,468.2,,0
1,S2,asym K1=8.0 K2=0.7 zmL=500 r=1.0,8.0,0.7,500.0,8.0,0.7,500.0,2144.4,1478.4,15.99,-150.67,56.5,293.3,54.63,462.9,,0
1,S2,asym K1=8.0 K2=0.85 zmL=250 r=0.15,8.0,0.85,250.0,8.0,0.85,37.5,2024.9,1602.5,0.0,-157.31,59.0,799.8,0.0,533.5,-0.52279,1
1,S2,asym K1=8.0 K2=0.85 zmL=250 r=0.3,8.0,0.85,250.0,8.0,0.85,75.0,2046.2,1638.1,0.0,-157.31,59.0,564.1,13.68,519.8,-0.55881,1
1,S2,asym K1=8.0 K2=0.85 zmL=250 r=0.5,8.0,0.85,250.0,8.0,0.85,125.0,2059.4,1667.2,0.0,-157.89,59.2,481.8,30.01,503.5,-0.59155,1
1,S2,asym K1=8.0 K2=0.85 zmL=250 r=0.7,8.0,0.85,250.0,8.0,0.85,175.0,2067.2,1684.7,0.0,-148.05,55.5,552.5,45.52,488.0,-0.55323,1
1,S2,asym K1=8.0 K2=0.85 zmL=250 r=1.0,8.0,0.85,250.0,8.0,0.85,250.0,2074.7,1700.5,0.0,-151.31,56.7,618.7,58.9,474.6,-0.58778,1
1,S2,asym K1=8.0 K2=0.85 zmL=325 r=0.15,8.0,0.85,325.0,8.0,0.85,48.8,2050.1,1103.3,0.0,-143.63,53.8,732.9,0.0,533.5,0.06015,1
1,S2,asym K1=8.0 K2=0.85 zmL=325 r=0.3,8.0,0.85,325.0,8.0,0.85,97.5,2073.1,1159.9,0.0,-143.63,53.8,382.4,13.68,519.8,0.00289,1
1,S2,asym K1=8.0 K2=0.85 zmL=325 r=0.5,8.0,0.85,325.0,8.0,0.85,162.5,2086.2,1198.5,0.0,-146.74,55.0,559.5,40.13,493.4,-0.05387,1
1,S2,asym K1=8.0 K2=0.85 zmL=325 r=0.7,8.0,0.85,325.0,8.0,0.85,227.5,2093.0,1217.2,0.0,-137.06,51.4,621.6,53.65,479.9,-0.01768,1
1,S2,asym K1=8.0 K2=0.85 zmL=325 r=1.0,8.0,0.85,325.0,8.0,0.85,325.0,2099.0,1233.1,0.0,-140.01,52.5,681.0,64.55,469.0,,0
1,S2,asym K1=8.0 K2=0.85 zmL=400 r=0.15,8.0,0.85,400.0,8.0,0.85,60.0,2072.4,1437.2,13.68,-143.63,53.8,638.1,0.0,519.8,-0.22608,1
1,S2,asym K1=8.0 K2=0.85 zmL=400 r=0.3,8.0,0.85,400.0,8.0,0.85,120.0,2096.1,297.6,0.0,-143.63,53.8,584.3,27.36,506.1,0.87531,1
1,S2,asym K1=8.0 K2=0.85 zmL=400 r=0.5,8.0,0.85,400.0,8.0,0.85,200.0,2108.7,385.4,0.0,-135.37,50.7,619.1,47.39,486.1,,0
1,S2,asym K1=8.0 K2=0.85 zmL=400 r=0.7,8.0,0.85,400.0,8.0,0.85,280.0,2115.3,421.5,0.0,-138.54,51.9,673.6,59.11,474.4,,0
1,S2,asym K1=8.0 K2=0.85 zmL=400 r=1.0,8.0,0.85,400.0,8.0,0.85,400.0,2120.2,448.8,0.0,-140.89,52.8,718.9,67.8,465.7,,0
1,S2,asym K1=8.0 K2=0.85 zmL=500 r=0.15,8.0,0.85,500.0,8.0,0.85,75.0,2088.2,1405.9,17.66,-140.49,52.7,442.4,0.0,515.8,-0.16153,1
1,S2,asym K1=8.0 K2=0.85 zmL=500 r=0.3,8.0,0.85,500.0,8.0,0.85,150.0,2110.6,1421.1,16.95,-128.98,48.4,559.9,33.25,483.3,,0
1,S2,asym K1=8.0 K2=0.85 zmL=500 r=0.5,8.0,0.85,500.0,8.0,0.85,250.0,2123.5,1406.8,16.0,-134.92,50.6,661.9,54.19,463.3,,0
1,S2,asym K1=8.0 K2=0.85 zmL=500 r=0.7,8.0,0.85,500.0,8.0,0.85,350.0,2129.4,1401.4,15.56,-137.65,51.6,712.7,63.79,454.1,,0
1,S2,asym K1=8.0 K2=0.85 zmL=500 r=1.0,8.0,0.85,500.0,8.0,0.85,500.0,2132.8,1398.2,15.26,-139.46,52.3,130.7,57.68,460.6,,0
130,S2,asym K1=6.0 K2=1.0 zmL=250 r=0.15,6.0,1.0,250.0,6.0,1.0,37.5,2026.1,1180.1,0.0,-112.3,53.8,976.1,0.0,417.1,-0.003,1
130,S2,asym K1=6.0 K2=1.0 zmL=250 r=0.3,6.0,1.0,250.0,6.0,1.0,75.0,2055.8,1242.7,0.0,-112.3,53.8,325.3,0.0,417.1,-0.06538,1
130,S2,asym K1=6.0 K2=1.0 zmL=250 r=0.5,6.0,1.0,250.0,6.0,1.0,125.0,2075.2,1291.9,0.0,-112.94,54.2,596.5,24.02,393.1,-0.11908,1
130,S2,asym K1=6.0 K2=1.0 zmL=250 r=0.7,6.0,1.0,250.0,6.0,1.0,175.0,2084.6,1311.2,0.0,-115.7,55.5,658.8,35.39,381.7,-0.15851,1
130,S2,asym K1=6.0 K2=1.0 zmL=250 r=1.0,6.0,1.0,250.0,6.0,1.0,250.0,2091.8,1326.4,0.0,-107.69,51.6,714.9,43.9,373.2,-0.11503,1
130,S2,asym K1=6.0 K2=1.0 zmL=325 r=0.15,6.0,1.0,325.0,6.0,1.0,48.8,2050.3,1524.2,10.69,-112.3,53.8,881.2,0.0,406.4,-0.29434,1
130,S2,asym K1=6.0 K2=1.0 zmL=325 r=0.3,6.0,1.0,325.0,6.0,1.0,97.5,2083.1,261.7,0.0,-112.3,53.8,471.1,10.69,406.4,0.91211,1
130,S2,asym K1=6.0 K2=1.0 zmL=325 r=0.5,6.0,1.0,325.0,6.0,1.0,162.5,2099.5,382.8,0.0,-114.91,55.1,666.3,32.13,385.0,,0
130,S2,asym K1=6.0 K2=1.0 zmL=325 r=0.7,6.0,1.0,325.0,6.0,1.0,227.5,2108.2,409.3,0.0,-106.88,51.2,87.7,30.76,386.3,,0
130,S2,asym K1=6.0 K2=1.0 zmL=325 r=1.0,6.0,1.0,325.0,6.0,1.0,325.0,2113.0,427.2,0.0,-108.46,52.0,212.7,36.77,380.3,,0
130,S2,asym K1=6.0 K2=1.0 zmL=400 r=0.15,6.0,1.0,400.0,6.0,1.0,60.0,2064.0,360.4,3.03,-109.97,52.7,747.8,0.0,414.1,0.84542,1
130,S2,asym K1=6.0 K2=1.0 zmL=400 r=0.3,6.0,1.0,400.0,6.0,1.0,120.0,2095.2,456.6,2.63,-110.27,52.9,629.1,21.25,393.2,0.74544,1
