DLC,dt,k,ksel,nbin,ScaleFactor,scr_eps_UW,scr_eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s,contrib_UW_pct,contrib_DW_pct
DLC4.1-a-y3,20,0.1,center,10,10000.0,1.6506105146472403,1.5016438302782769,0.005952943650409821,0.0028957166599876,5039.523597360895,10360.129640628744,3634.209593606515,1.5637368999887258,0.09399644812042414,0.18629363963683807
DLC4.1-b-y1,20,0.18,center,10,500.0,1.7923117695543858,1.4945845352926828,0.0004053990713908966,0.00014973306562625132,74001.15618684582,200356.54699599216,57580.954105074205,1.5915738999610767,0.00640121509959853,0.009632958277629047
DLC4.1-b-y2,20,0.16,center,10,500.0,1.7058358254939847,1.5037313064882252,0.0003835633648156715,0.00014016866806630595,78213.93478080748,214027.85953426253,61017.69176788638,1.5958948999759741,0.006056431244617868,0.00901764032991812
DLC4.1-b-y3,20,0.13,center,10,500.0,1.6011773213008775,1.5057862012240044,0.00039029538834190565,0.00014174284313333378,76864.85901729249,211650.897758413,60056.11184721599,1.5940405000001192,0.006162729294337452,0.009118913637045976
DLC4.1-c-y1,20,0.21,center,10,500.0,2.418067545105571,1.4712954418474506,0.00030870560482128983,0.00016149847252776867,97179.96541516326,185760.2708585475,68484.86287659903,1.4285007999860682,0.004874433905664617,0.010389876419441108
DLC4.1-c-y2,20,0.32,center,10,500.0,2.897365968140421,1.489198132278701,0.00027580446344860246,0.0001524570376707649,108772.71391799158,196776.747458427,75264.23541433406,1.4887232999899425,0.00435492782434506,0.009808202863348842
DLC4.1-c-y3,20,0.56,cons,10,500.0,4.42624192374592,0.10036037233792139,0.00036102292414977685,0.00021119793910244855,83097.21625199058,142046.84064387347,56380.79230625996,1.446122800000012,0.005700519701340047,0.01358725226913703
DLC6.4-a-s1,20,3.0,center,30,24340.0,0.35215661067460324,0.36851391826060453,0.005102614290382198,0.0025990786288674766,5879.339156899693,11542.55191312631,4179.097154050786,4.767147699953057,0.08056982353451742,0.16720966666542517
DLC6.4-a-s2,20,3.0,center,30,24340.0,0.7340533536202676,0.7467683057678309,0.007923553061024366,0.004037070619663857,3786.180236183282,7431.130843705162,2691.020860396166,4.811480500036851,0.1251121945659155,0.2597217433598443
DLC6.4-a-s3,20,3.0,center,30,24340.0,0.7206127188568834,0.7521220175592092,0.008601930093854602,0.004382315140529783,3487.5893750209184,6845.696632482088,2478.868349842569,4.831793099991046,0.13582370727578713,0.2819327763816542
DLC6.4-a-s4,20,3.0,center,30,24340.0,0.8030689895761833,0.8297716939123401,0.005457695187860804,0.002780875850492715,5496.825851822404,10787.968112522754,3906.7847338304427,4.8131322000408545,0.08617651916586337,0.1789054470435287
DLC6.4-a-s5,20,3.0,center,30,24340.0,0.39086216735293444,0.4054633893216142,0.005578319592229322,0.0028417916331635916,5377.963650879814,10556.720503326575,3822.5395988195764,4.768283599987626,0.08808116772851218,0.1828244157126294
DLC6.4-a-s6,20,3.0,center,30,24340.0,0.7377306935718142,0.7582826514071828,0.005465952349891953,0.0027848568600900136,5488.522050616307,10772.546492400448,3900.984030375766,4.801785600022413,0.08630689901624702,0.17916156214538165
DLC6.4-b-s1,20,0.35,center,30,292.4,2.987492822958127,1.4802754825257587,0.0004397236923812999,0.00024574314201904885,68224.66134935014,122078.68652413723,47031.685290097565,4.19271029997617,0.006943197796840348,0.015809690559544263
DLC6.4-b-s2,20,0.36,center,30,292.4,2.9637721604680207,1.406234684673353,0.00046293698488391097,0.0002568218338595632,64803.63630381139,116812.49817881439,44785.44618715376,4.244512700010091,0.007309733610475287,0.016522429431376152
DLC6.4-b-s3,20,0.27,center,30,292.4,2.553827748330861,1.5067165086720933,0.00042123998090673253,0.00023513037556301017,71218.3110810708,127588.78953077081,49115.591267129006,4.387329499993939,0.006651341644872161,0.015126926628587131
DLC6.4-b-s4,20,0.49,cons,30,292.4,3.7829217696480235,0.004608533656488056,0.0005055074705594015,0.0002796373389697358,59346.303956302734,107281.81047112166,41053.796223925645,4.132241499959491,0.007981917774016299,0.017990246896343574
DLC6.4-b-s5,20,0.61,cons,30,292.4,5.619795687883628,0.042631359212817355,0.0005984201607138804,0.00033459694473995065,50132.00084069987,89660.11337406578,34553.41098757557,4.16310219996376,0.00944900084631,0.02152602963828592
