DLC,k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
DLC1.2-a-s4,2.7,20.0,111.46413576769984,192.1223754254047,122.95989497875487
DLC1.2-a-s4,2.75,20.0,114.45117799202276,198.02815419049483,126.36703584291031
DLC1.2-a-s4,2.8,20.0,117.47506108559635,204.03506476685732,129.8204544772498
DLC1.2-a-s4,2.85,20.0,120.53611831561493,210.1443638456955,133.32062319349745
DLC1.2-a-s4,2.9,20.0,123.63468455807762,216.35731638332723,136.86801694472686
DLC1.2-a-s4,2.95,20.0,126.77109629552943,222.67519558949337,140.46311332155082
DLC1.2-a-s4,3.0,20.0,129.94569161479933,229.09928291560462,144.10639254829866
DLC1.2-a-s5,0.0,20.0,-4.343753464439559,-8.905631885749365,-5.022489365520244
DLC1.2-a-s5,0.05,20.0,-2.8851368548038048,-6.900076638268349,-3.4827056252143995
DLC1.2-a-s5,0.1,20.0,-1.4021849687505306,-4.845768314145726,-1.9148952993380264
DLC1.2-a-s5,0.15,20.0,0.10541509122281578,-2.741771943087856,-0.31864841488430384
DLC1.2-a-s5,0.2,20.0,1.637979011036217,-0.5871399736341987,1.3064493838544466
DLC1.2-a-s5,0.25,20.0,3.1958252636269835,1.622338801546519,2.961301001390093
DLC1.2-a-s5,0.3,20.0,4.77927510747147,3.885251885614438,4.645975133291058
DLC1.2-a-s5,0.35,20.0,6.388652585031296,6.207223539881435,6.361591427745816
DLC1.2-a-s5,0.4,20.0,8.024284521124159,8.58758933637278,8.108335468727624
DLC1.2-a-s5,0.45,20.0,9.686500521221975,11.025886521767859,9.886424745878951
DLC1.2-a-s5,0.5,20.0,11.375632969677142,13.521663504414061,11.696080271431185
DLC1.2-a-s5,0.55,20.0,13.092017027879077,16.075985234449576,13.53775175153129
DLC1.2-a-s5,0.6,20.0,14.835990632341867,18.689929830853956,15.411893369442575
DLC1.2-a-s5,0.65,20.0,16.607894492724974,21.36458858532373,17.31896378517761
DLC1.2-a-s5,0.7,20.0,18.408072089788853,24.103252850357038,19.259753977718464
DLC1.2-a-s5,0.75,20.0,20.23686967328544,26.906230598138702,21.234610813897635
DLC1.2-a-s5,0.8,20.0,22.094636259787205,29.773433215668366,23.243823756623172
DLC1.2-a-s5,0.85,20.0,23.98172363045441,32.706008866831546,25.28787004120896
DLC1.2-a-s5,0.9,20.0,25.898486328742386,35.705118954825174,27.367231384901693
DLC1.2-a-s5,0.95,20.0,27.845281658051157,38.77193812139692,29.482393985250788
DLC1.2-a-s5,1.0,20.0,29.82246967931763,41.9076542453712,31.63384851828337
DLC1.2-a-s5,1.05,20.0,31.830413208552333,45.113468440477746,33.82209013648947
DLC1.2-a-s5,1.1,20.0,33.86947781432179,48.392415800015456,36.04789303049609
DLC1.2-a-s5,1.15,20.0,35.94003181517862,51.74663078143033,38.31189875531962
DLC1.2-a-s5,1.2,20.0,38.04244627703912,55.17481493391261,40.61423330589133
DLC1.2-a-s5,1.25,20.0,40.17709501051145,58.678226851643835,42.955410466764654
DLC1.2-a-s5,1.3,20.0,42.344354568174644,62.25813840212262,45.335948496482125
DLC1.2-a-s5,1.35,20.0,44.54460424180948,65.91583472019022,47.75637012452654
DLC1.2-a-s5,1.4,20.0,46.77822605958373,69.65261420147952,50.21720254811588
DLC1.2-a-s5,1.45,20.0,49.0456047831912,73.46978849530524,52.71897742884646
DLC1.2-a-s5,1.5,20.0,51.34712790494773,77.36868249701021,55.26223088918989
DLC1.2-a-s5,1.55,20.0,53.68318564484373,81.3506343397847,57.847503508846664
DLC1.2-a-s5,1.6,20.0,56.05417094755531,85.41699538597358,60.47534032096229
DLC1.2-a-s5,1.65,20.0,58.460479479415014,89.57290015819001,63.14686381884063
DLC1.2-a-s5,1.7,20.0,60.90250962534309,93.81819254624124,65.86239583110863
DLC1.2-a-s5,1.75,20.0,63.38066248574039,98.15228987143054,68.62219502828614
DLC1.2-a-s5,1.8,20.0,65.8953418733443,102.57660362742543,71.42682540611098
DLC1.2-a-s5,1.85,20.0,68.4469543100488,107.09255860770016,74.27685541349629
DLC1.2-a-s5,1.9,20.0,71.03590902368929,111.70159289428874,77.17285794805393
DLC1.2-a-s5,1.95,20.0,73.66261794479298,116.40515784610974,80.11541035150506
DLC1.2-a-s5,2.0,20.0,76.3274957032978,121.20471808687915,83.10509440498343
DLC1.2-a-s5,2.05,20.0,79.03095962523756,126.1017514926209,86.14249632423152
