DLC,ScaleFactor,rpm_mean,rpm_CV_pct,T3P_s,dt_rule_max_s,n_rpm_lt1,n_kappa_clip,valid,D30_UW_scr,D30_DW_scr,life_UW_scr_yr,life_DW_scr_yr,life_Sys_scr_yr,best_dt_s,best_k,eps_UW_at_best,eps_DW_at_best,eps_Sys_at_best,kappa_min,kappa_max
DLC1.2-k-s4,538.2,6.187389766705549,4.799566668056764,3.232380818745304,0.7165305019869391,0,0,1,0.008145115105453443,0.0053991992544849135,3683.1892013304932,5556.379489991987,2386.11639998102,20,0.61,2.7590104130715924,-0.2527538845889996,1.5966923473544261,1.532735972209523,1.8945492152710148
DLC1.2-k-s5,538.2,6.189519940009999,4.762078834945329,3.23126836876588,0.7197061295931645,0,0,1,0.0058213091576725445,0.004707232258161106,5153.479945393331,6373.171824693347,3075.364208249028,20,0.51,0.8575092414852257,2.381204549934055,1.5291131299396632,1.5451823101279725,1.8876082242095227
DLC1.2-k-s6,538.2,6.190456195634062,4.4567785002138685,3.230779665980899,0.7126181877264345,0,0,1,0.0049044400424429644,0.0034388855147199767,6116.90626052727,8723.756540189113,3876.05269686136,20,0.59,2.909518043863094,-2.3416736656184582,0.8054942956428439,1.53985404800837,1.9031781768271143
DLC2.4.1-a-s1,50.0,3.758529616139767,72.22390051587286,5.321229853854707,0.6216616767956076,151,20,1,0.00019073017248734912,9.388890072945136e-05,157290.26828196185,319526.5869226383,113011.80063176618,20,0.42,2.5371059884061125,-0.7091588740911248,1.5302573817826741,0.008993246019528209,2.1315757894318508
DLC2.4.1-a-s2,50.0,3.6222509182529112,73.00942431414317,5.521428650681777,0.6515201267597559,155,33,1,0.00024701630723596266,0.00012202728800184468,121449.47163890058,245846.65029633776,87164.51003388288,20,0.5,2.887614810497588,-3.365897331391343,0.9452094625905216,0.002701651299073268,2.050173302664833
DLC2.4.1-a-s3,50.0,3.8011413138103163,71.23688843400036,5.261577602320637,0.6163996834171226,154,13,1,0.00026937159867187707,0.0001327810193216453,111370.31575679645,225935.9067528227,79984.94485446451,20,0.43,2.875254354440783,-3.6021479914276693,0.8669294045401887,0.018862436167238122,2.1466679897585963
DLC2.4.1-a-s4,50.0,3.4897957011647254,76.49607536045946,5.730994508740143,0.6496467870418854,176,31,1,0.00025509734107561174,0.00012547667562238152,117602.1665827865,239088.25964025495,84516.62488871721,10,0.4,2.9707758062318455,-4.843977976254273,0.5532200352118438,0.020434295120879787,2.0550790092554716
DLC2.4.1-a-s5,50.0,3.71810008202995,74.79278591633283,5.379091352775182,0.6100254014577168,168,17,1,0.0002501271833151098,0.00012464334881593652,119938.98305009917,240686.7296569642,85846.80933343123,20,0.52,2.9282807200165513,-3.7086663040709147,0.8532020540458993,0.015037634410170272,2.1652692335029142
DLC2.4.1-a-s6,50.0,3.805537615141431,72.29140283721654,5.255499228393965,0.6054478194796782,146,21,1,0.00019419714375929623,9.170869889248906e-05,154482.18969267872,327122.73058381595,112411.28281002464,20,0.38,2.712887717991412,-1.508977047310502,1.4457742064998955,0.007990004356494038,2.178848335086129
DLC2.4.1-b-s1,50.0,2.619697488053245,101.03324170559861,7.634469281742314,0.7222166852276355,244,43,1,0.00022120053867988071,0.00011345687910850734,135623.53952227806,264417.6380993941,96188.70759369589,4,0.36,2.691917900304437,-0.9004231791526458,1.5420293922746127,0.004453255127001784,1.8821604291172327
DLC2.4.1-b-s2,50.0,2.693158970049917,97.63334681812509,7.426223339363181,0.6897731474072807,211,53,1,0.0001601395927879973,8.681701986778204e-05,187336.55729795602,345554.3630233852,130476.81883798116,10,0.76,0.7592711530289886,3.120525859684893,1.5497392172011804,0.0015803952747721302,1.9553498070900612
DLC2.4.1-b-s3,50.0,2.7618099439434274,95.59495036252287,7.241627920074459,0.7432413349208968,213,56,1,0.0002383034519908039,0.00011653996910451178,125889.90948044552,257422.41250378508,90634.99093139808,4,0.34,2.807785643577917,-1.5845239965404225,1.4530572451523378,0.0051323965924275575,1.8378620018429876
DLC2.4.1-b-s4,50.0,2.594586597936772,98.05221854565042,7.708357090838324,0.7409097779345214,237,59,1,0.0001828653973128859,8.954569431361155e-05,164055.0942979632,335024.48364443355,118064.38154712008,4,0.36,2.9084800288413564,-1.7035992856214068,1.4846513756923452,0.004926564096356075,1.8426610560888883
DLC2.4.1-b-s5,50.0,2.5446589168386025,97.71278492068741,7.859599519470106,0.770717661457643,233,38,1,0.00033553769889711836,0.00020345055344050836,89408.73141410711,147455.97636711466,59889.320033343516,1,0.3,2.384259700177809,-0.006673742502801977,1.5174338034121013,0.003994382755329296,1.7833129766121
