rank,stage,k_L,k_R,delta_mm,f_L,f_R,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct,s1,s2,s3,s4,score,feasible
1,U1,2.5,0.8,0,0.0,0.0,2140.6,1110.3,51.87,12.907,2.452,532.9,24.89,10.783,2.049,34.68,,,,,,0
1,U1,2.5,0.8,10,0.0,0.0,2131.5,1087.7,51.03,13.145,2.498,567.0,26.6,10.462,1.988,29.65,,,,,,0
1,U1,2.5,0.8,20,0.0,0.0,2123.5,1066.4,50.22,13.372,2.541,602.4,28.37,10.136,1.926,29.39,,,,,,0
1,U1,2.5,0.8,30,0.0,0.0,2115.5,1048.5,49.56,13.567,2.578,634.0,29.97,9.837,1.869,29.16,,,,,,0
1,U1,2.5,0.8,40,0.0,0.0,2107.4,1029.9,48.87,13.772,2.617,669.4,31.77,9.541,1.813,28.92,,,,,,0
1,U1,3.0,0.3,0,0.0,0.0,2118.7,977.8,46.15,16.494,3.134,249.2,11.76,0.0,0.0,30.39,,,,,,0
1,U1,3.0,0.3,10,0.0,0.0,2111.2,954.3,45.2,16.788,3.19,367.2,17.39,0.0,0.0,25.36,,,,,,0
1,U1,3.0,0.3,20,0.0,0.0,2104.5,930.7,44.22,17.089,3.247,457.4,21.73,-0.0,-0.0,25.15,,,,,,0
1,U1,3.0,0.3,30,0.0,0.0,2097.6,908.7,43.32,17.377,3.302,534.2,25.47,0.0,0.0,24.95,,,,,,0
1,U1,3.0,0.3,40,0.0,0.0,2091.1,888.4,42.49,17.649,3.353,602.8,28.83,0.0,0.0,19.97,,,,,,0
1,U1,3.0,0.4,0,0.0,0.0,2129.7,984.4,46.22,16.318,3.1,922.9,43.33,5.666,1.076,30.76,,,,,,0
1,U1,3.0,0.4,10,0.0,0.0,2122.7,960.9,45.27,16.619,3.158,953.4,44.91,5.566,1.058,25.71,,,,,,0
