DLC,dt,k,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC1.2-f-s6,4.0,0.33,150,0.07808256884925016,0.022615147473833343,0.08050582288690775,0.020915388764153484,3.103450710408917,-7.516018684585413,1.0040165502136045,384.20867092525344,372.6438526334068,30.992971499974374
DLC1.2-g-s1,10.0,0.37,60,0.03615475779944058,0.01016525044715906,0.03708792587516046,0.009531184403570153,2.5810381054034215,-6.2375840800470765,0.8822914400554716,829.7663108799526,808.8885881885464,12.49976959999185
DLC1.2-g-s2,20.0,0.4,30,0.04046975404314603,0.011991012054632266,0.04126344667465171,0.011168984709152688,1.96119954339109,-6.8553625143093715,0.18054316553670624,741.2943495533996,727.0357281721963,5.581277899967972
DLC1.2-g-s3,4.0,0.35,150,0.034536730251860284,0.009143630293169133,0.03540550627012051,0.00826135452094457,2.515513228741262,-9.649075300908416,0.30157629374854,868.640423723496,847.325830369997,28.241541599971242
DLC1.2-g-s4,10.0,0.38,60,0.04191813177234695,0.011147032231396957,0.04299963052295059,0.010250692609047868,2.5800261244397715,-8.04106064952822,0.6374876974072352,715.6807503475324,697.6804134162926,12.105131899996195
DLC1.2-g-s5,4.0,0.35,150,0.03839692922399448,0.00971879789842548,0.039453674054177094,0.00896811711002568,2.752159746988947,-7.72400862992958,0.9213901262332458,781.3124800941846,760.385457607941,28.310873100010213
DLC1.2-g-s6,10.0,0.39,60,0.04266592344963929,0.011873042444776818,0.04374927868446032,0.010633258738298745,2.539158061584579,-10.442005174701274,0.06742132682751034,703.1372480525469,685.7255914177153,13.500901599996723
DLC1.2-h-s1,10.0,0.41,60,0.022687715813021724,0.008414257331065593,0.022999687228793607,0.007933007036618341,1.3750675402625756,-5.719462520720242,-0.36975739828595255,1322.3014713002246,1304.3655638256946,12.713640200032387
DLC1.2-h-s2,4.0,0.39,150,0.018502781881611103,0.005254837380694279,0.019064525318510064,0.005001049966639786,3.0359944817662576,-4.829595964032707,1.5061458795591953,1621.3778118313846,1573.6033024054632,29.66552939999383
DLC1.2-h-s3,4.0,0.38,150,0.018218866685567645,0.005715872048499287,0.01873211489296786,0.005335856896684449,2.817124776519675,-6.648419499079095,0.8059595207941639,1646.6446853011423,1601.527652986058,29.247879199974705
DLC1.2-h-s4,4.0,0.38,150,0.01902923300896281,0.00589061749309573,0.01942886581520203,0.005362094284591174,2.1000993894551234,-8.972288713772825,-0.22261576037481134,1576.5217644804673,1544.0942505520127,29.235417200019583
DLC1.2-h-s5,4.0,0.38,150,0.018538266774670988,0.005617750712340861,0.01902066642006174,0.00516788651164754,2.6021831018736785,-8.007906077161387,0.4176829580704977,1618.2742628879032,1577.2318034218813,30.164331900014076
DLC1.2-h-s6,4.0,0.41,150,0.01709656843709921,0.004670869334834269,0.017672817591773467,0.004420528233488458,3.3705544875532345,-5.35962544442905,1.7321115239623541,1754.7380990737652,1697.5221887631953,28.460312800016254
DLC1.2-i-s1,2.0,0.41,300,0.007420796505717121,0.0024954432387937994,0.007650155696256286,0.0023825140927646615,3.0907624318017968,-4.525414334157462,1.3692012938155917,4042.692718616854,3921.48881553887,62.1964835000108
DLC1.2-i-s2,4.0,0.41,150,0.007805125970617884,0.003072573827510237,0.008047813649274723,0.0029498796307793375,3.1093371147426385,-3.9932058143683613,1.2725829150617152,3843.627907215581,3727.7205098683703,28.987503799959086
